,precision,recall,f1-score,support
joy,0.5066666666666667,0.6551724137931034,0.5714285714285714,58.0
trust,0.125,0.125,0.125,16.0
fear,0.058823529411764705,0.025,0.03508771929824561,40.0
surprise,0.0,0.0,0.0,25.0
sadness,0.1,0.03278688524590164,0.04938271604938271,61.0
disgust,0.45454545454545453,0.36585365853658536,0.40540540540540543,41.0
anger,0.39090909090909093,0.5972222222222222,0.4725274725274725,72.0
anticipation,0.2037037037037037,0.44,0.27848101265822783,25.0
accuracy,0.33136094674556216,0.33136094674556216,0.33136094674556216,0.33136094674556216
macro avg,0.22995605565458505,0.2801293974747266,0.24216411217091321,338.0
weighted avg,0.2713432503477753,0.33136094674556216,0.2874684513427652,338.0
